tag,x_raw,y_raw (mm),z_to_floor (in)
3,28398.56293,19807.67776,44
20,47823.13001,33599.68643,51.25
30,69075.59822,38760.09028,55
0,69088.25964,38761.07937,27.5
1,77770.62562,34408.29849,53.125
21,91250.69226,36534.51841,47.75
4,36302.83168,23956.10506,52.125
23,46792.55049,32394.19951,57
5,67498.20387,37521.47618,29.5
6,85382.37396,32443.29803,52
22,98647.68891,32750.96944,53.375
24,33697.80172,26550.54204,60.125
11,49728.16185,29169.62467,53.25
584,65961.74357,36591.15606,52.375
10,65955.41965,36590.58116,29.5
25,83932.45486,35135.10044,56.25
9,97952.51845,27375.77978,52
11,32683.49973,23771.63204,43.375
15,57645.03094,28565.10403,50.875
16,65025.6432,33789.85223,29.25
17,86077.91598,31626.09758,43.625
18,105376.9291,23964.04077,46
